airspeed,drone_mass,payload_mass,battery_mass,induced_speed_payload,thrust_payload,epm_payload,flight_range_payload,power_payload,induced_speed_no_payload,thrust_no_payload,epm_no_payload,flight_range_no_payload,power_no_payload,epm_3
1.0,7,7,10,9.02965964083297,235.70679825,3040.9877840091935,1.7757388005290569,3040.9877840091935,7.5894231058983594,166.9326155,1810.1944831881765,2.9831048819071277,1810.1944831881765,2425.591133598685
1.5,7,7,10,9.001850610131003,236.1302960625,2025.4826581691134,2.6660312188904154,3038.22398725367,7.553385303847667,167.199634875,1203.4726596359571,4.4870151031378365,1805.2089894539356,1614.4776589025353
2.0,7,7,10,8.962342101195537,236.723193,1517.3715610907288,3.558785559496271,3034.7431221814577,7.502663807529428,167.573462,899.2607202888271,6.00493258313964,1798.5214405776542,1208.316140689778
2.5,7,7,10,8.91105522270503,237.4854890625,1212.335679505652,4.454211891381379,3030.8391987641303,7.437404959027615,168.054096875,716.1432780900213,7.540390540845381,1790.3581952250534,964.2394787978367
3.0,7,7,10,8.848002761979032,238.41718425,1008.9434220267399,5.352133610378883,3026.8302660802196,7.357956384020037,168.6415395,593.662301319052,9.096080360841167,1780.9869039571558,801.3028616728959
3.5,7,7,10,8.773411443908346,239.5182785625,863.7437641785812,6.251854107607238,3023.103174625034,7.264941679158408,169.335789875,505.92490235449793,10.673520862225237,1770.7371582407427,684.8343332665395
4.0,7,7,10,8.687683927489024,240.788772,755.0261913983613,7.152069771247037,3020.1047655934453,7.159228215638192,170.136848,439.99902010671383,12.272754604522362,1759.9960804268553,597.5126057525376
4.5,7,7,10,8.591408202010465,242.2286645625,670.744362994848,8.050757185478544,3018.349633476816,7.041974320668621,171.04471387499999,388.71636078321154,13.891877329577076,1749.223623524452,529.7303618890297
5.0,7,7,10,8.485394882495381,243.83795625,603.6876418996262,8.945023262374228,3018.438209498131,6.914534755427493,172.05938749999999,347.7867854396162,15.526754396876198,1738.9339271980812,475.7372136696212
5.5,7,7,10,8.370591278371043,245.6166470625,549.2786637660867,9.83107547446922,3021.032650713477,6.778529088647546,173.180868875,314.4939335988022,17.170442489007574,1729.7166347934121,431.8862986824444
6.0,7,7,10,8.248132559476161,247.564737,504.48005942191304,10.704090080761357,3026.8803565314784,6.635719196962916,174.409158,287.03528485318867,18.813018067663574,1722.2117091191321,395.75767213755086
6.5,7,7,10,8.11930764019368,249.6822260625,467.2012649224516,11.558187884821583,3036.8082219959356,6.487979341323509,175.744254875,264.17024056149626,20.44136382857604,1717.1065636497258,365.68575274197394
7.0,7,7,10,7.985461248027969,251.96911425,435.9562322554883,12.386564522916093,3051.693625788418,6.337197564697981,177.1861595,245.01651648296576,22.039330562335472,1715.1156153807603,340.48637436922706
7.5,7,7,10,7.848035639841384,254.42540156249999,409.6645765139014,13.181515585145446,3072.4843238542608,6.185231833987857,178.73487187499998,228.92967926265476,23.588029378246286,1716.9725944699107,319.29712788827806
8.0,7,7,10,7.708442329535873,257.051088,387.51958425652714,13.934779606971684,3100.156674052217,6.033813091639411,180.390392,215.42604899059188,25.06660650047864,1723.408391924735,301.47281662355954
8.5,7,7,10,7.568091174190338,259.8461735625,368.9093090767801,14.637743930923989,3135.729127152631,5.8844899859352875,182.152719875,204.13388349165507,26.45322720380593,1735.138009679068,286.5215962842176
9.0,7,7,10,7.428278454829497,262.81065825,353.3581045805492,15.28194749179455,3180.2229412249426,5.738603890986373,184.0218555,194.76156309265335,27.72621000906156,1752.8540678338802,274.0598338366013
